c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
4,2,7,1.37,46.8,5,0.93025,28.375,1182.3,14259,0.28036,0.083338,0.56122,18.97,10076,4.2144e+10,0.024616,0.033765,54.713,21.096,8.866,90.089,1.4868,5.3418e-05,16402
4,3,2,0.612,119,5,8.584,164.23,11682,1.4701e+05,1.0716,0.31552,43.398,262.37,9.4701e+05,1.7259e+12,0.25511,0.23161,123.74,70.333,53.739,385.77,46.696,0.00015566,5.5312e+05
4,3,3,0.679,70.4,5,6.0088,112.76,8216.2,98979,0.83797,0.25735,22.715,144.74,5.0244e+05,9.8256e+11,0.1825,0.17954,103.47,56.334,39.519,300.51,28.669,0.00012214,3.4328e+05
4,3,4,0.871,64.6,5,3.1184,64.212,4230.2,52249,0.55732,0.17946,6.0431,58.446,1.3294e+05,3.4058e+11,0.08871,0.10404,80.781,38.82,22.92,192.18,10.246,8.5291e-05,1.2776e+05
4,3,5,1.06,40.8,5,1.7961,40.42,2407.9,31829,0.40854,0.12199,1.9658,28.548,42287,1.4998e+11,0.048835,0.05856,64.75,27.975,14.091,143.35,4.208,6.8831e-05,55033
4,3,6,1.25,21.8,5,1.2902,28.658,1726.2,19777,0.36009,0.10465,0.92057,17.072,19850,7.2437e+10,0.037451,0.045741,58.935,24.358,11.27,124.86,2.2127,6.1791e-05,32853
4,3,7,1.38,18.5,5,1.0558,22.89,1424.4,17314,0.3311,0.096563,0.61506,11.93,13175,5.8313e+10,0.03205,0.04147,55.199,22.524,10.171,113.36,1.5264,5.8957e-05,24317
4,4,2,0.604,130,5,9.3481,239.65,12363,1.5019e+05,1.0774,0.32623,53.028,572.41,1.0186e+06,1.9915e+12,0.22503,0.22983,130.11,73.224,62.852,373.86,65.184,0.00015883,5.2399e+05
4,4,3,0.724,26,5,4.713,131.92,6175.7,81809,0.68385,0.21753,14.875,217.98,2.8004e+05,7.0081e+11,0.10942,0.12963,97.769,47.507,32.532,238.75,23.053,0.00011266,2.0004e+05
4,4,4,0.878,2.65,5,2.6772,79.926,3440.1,42574,0.50094,0.15373,4.2513,90.572,78290,2.2667e+11,0.06462,0.078653,83.162,36.139,19.868,166.75,9.2784,8.3266e-05,79563
4,4,5,1.09,2.4,5,1.5634,46.413,2000.6,25356,0.37588,0.10354,1.3802,40.322,24928,9.9162e+10,0.038365,0.044609,64.666,25.846,12.073,133.02,3.6174,6.4378e-05,34923
4,4,6,1.27,4.19,5,1.1009,33.69,1403.3,18348,0.30027,0.083723,0.74095,26.181,13414,6.1109e+10,0.027591,0.03384,55.631,21.53,9.2527,103.83,2.0509,5.3446e-05,21309
4,4,7,1.44,0.623,5,0.84711,25.272,1081.4,13558,0.27087,0.077972,0.44878,15.5,7945.2,3.8013e+10,0.02285,0.030394,52.844,20.195,8.2309,95.842,1.3178,4.7824e-05,14585
4,5,2,0.676,146,5,7.7021,179.23,10237,1.3861e+05,0.98194,0.2974,35.945,344.35,7.0595e+05,1.6786e+12,0.19453,0.20627,117.42,65.5,49.912,328.56,44.318,0.00016048,4.1126e+05
4,5,3,0.727,115,5,6.2569,137.61,8284.9,1.0646e+05,0.84726,0.26249,24.752,220.12,4.8982e+05,1.1378e+12,0.15926,0.17607,103.96,56.42,41.447,294.09,32.104,0.00013602,3.1182e+05
4,5,4,0.908,43.8,5,2.6666,67.836,3443.1,45128,0.48009,0.14601,4.8135,72.735,90620,2.639e+11,0.065784,0.076526,71.84,32.637,18.793,163.73,8.5783,7.966e-05,87037
4,5,5,1.07,44.3,5,1.7905,45.02,2304.8,30625,0.42543,0.11488,1.8314,38.83,33773,1.3705e+11,0.047378,0.053412,63.338,26.632,13.455,142,4.049,7.5747e-05,43633
4,5,6,1.24,38.9,5,1.2346,31.532,1595.2,19533,0.34554,0.096576,0.84708,22.163,15882,6.8903e+10,0.032988,0.039255,56.899,22.895,10.432,116.87,2.1929,6.3185e-05,25255
4,5,7,1.41,24.3,5,0.95608,25.214,1238.5,16052,0.30197,0.090783,0.54943,14.86,10286,4.9735e+10,0.025997,0.036963,52.869,21.217,9.362,97.905,1.3432,5.6882e-05,18536
