c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
3,3,5,1.07,38.6,9,1.1474,24.529,1537,19666,0.4376,0.11167,0.81571,11.421,16686,5.6454e+10,0.056228,0.053664,62.871,26.55,12.387,155.47,2.6302,5.918e-05,27794
3,3,6,1.25,5.01,9,0.8158,16.799,1110.1,13678,0.40079,0.097114,0.37737,6.2667,7851.8,3.0918e+10,0.045997,0.045099,57.172,23.481,10.264,141.37,1.44,5.4224e-05,15985
3,3,7,1.43,3.8,9,0.65338,14.005,903.01,11654,0.36543,0.096294,0.24149,4.8963,5004.1,2.3903e+10,0.0398,0.04469,55.163,22.642,9.8361,128.87,0.92818,5.0079e-05,11350
3,4,2,0.629,28.4,9,4.7236,122.13,6281.5,80570,0.825,0.25636,14.152,163.94,2.739e+05,5.6681e+11,0.12945,0.16652,111.58,56.985,39.862,271.74,30.285,0.00012089,1.9358e+05
3,4,3,0.69,20.1,9,3.7129,97.034,4875.9,59994,0.71898,0.22277,8.3228,105.76,1.5868e+05,3.4923e+11,0.10174,0.13584,104.2,50.23,32.108,242.36,20.565,0.00010354,1.3244e+05
3,4,4,0.864,4.21,9,1.7666,52.849,2296.1,29384,0.45091,0.14163,2.0308,41.135,38034,1.046e+11,0.050212,0.073325,79.272,33.979,17.404,151.27,6.3795,6.7172e-05,45380
3,4,5,1.07,-1.15,9,1.0659,32.697,1364.9,17635,0.34647,0.10129,0.72699,18.872,13200,4.5354e+10,0.03104,0.044624,65.736,26.072,11.463,119.77,2.8069,5.2344e-05,21201
3,4,6,1.32,17.8,9,0.63942,18.722,821.07,10695,0.28322,0.08595,0.25648,8.37,4560.8,2.1276e+10,0.022273,0.034382,56.474,21.967,8.8091,92.38,1.1695,4.4815e-05,9297.9
3,4,7,1.48,12.8,9,0.52102,15.027,670.69,7928.4,0.24694,0.077786,0.17979,5.9589,3173.2,1.377e+10,0.018507,0.030175,52.067,19.994,7.8156,83.326,0.83034,3.9991e-05,7157.9
3,5,2,0.586,180,9,6.8817,144.28,9091,1.2383e+05,1.0507,0.29532,29.113,207.2,5.7173e+05,1.2389e+12,0.19723,0.20878,119.09,66.179,49.915,348.84,42.928,0.00015498,3.3744e+05
3,5,3,0.693,97.9,9,4.0206,88.93,5288.2,74698,0.74623,0.22267,10.572,91.698,2.0328e+05,5.1175e+11,0.11789,0.14514,97.356,49.516,32.481,241.35,20.967,0.00011009,1.5475e+05
3,5,4,0.895,72.5,9,1.7255,41.594,2229.4,29269,0.44555,0.13041,2.0127,26.988,37397,1.0368e+11,0.050781,0.067212,70.155,30.505,15.952,140.38,5.4786,7.0093e-05,43951
3,5,5,1.08,49,9,1.1623,27.938,1533.4,20101,0.39412,0.10712,0.8503,14.476,16143,5.8064e+10,0.038871,0.051991,62.895,26.216,12.257,134.39,2.94,5.9736e-05,23879
3,5,6,1.25,57,9,0.74113,18.259,975.89,12520,0.3229,0.093736,0.33346,7.2819,6138.5,2.6356e+10,0.02728,0.039021,55.863,22.427,9.7904,108.37,1.3488,5.1974e-05,12280
3,5,7,1.46,54.1,9,0.57653,13.966,762.44,9984.1,0.28731,0.08553,0.21219,5.1005,4036.1,1.9373e+10,0.023157,0.037005,50.977,20.515,8.6656,91.847,0.84327,4.6674e-05,8936.2
