c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumumber
2,4,6,1.29,0.553,8,0.3568,6.5961,453.78,5417,0.23302,0.074225,25.228
2,5,1,0.542,168,8,4.2486,57.628,5529.6,69298,1.1492,0.34659,86.551
2,5,2,0.616,104,8,3.7172,46.69,4799.5,49735,1.09,0.33119,82.394
2,5,3,0.689,83.1,8,2.6852,31.785,3447.3,35487,0.85512,0.25979,66.038
2,5,4,0.884,51.6,8,1.1123,15.239,1418.7,15839,0.4742,0.14207,39.637
2,5,5,1.07,28.3,8,0.64805,9.2187,826.99,8900.3,0.37098,0.10464,32.002
2,5,6,1.27,28.9,8,0.43092,6.5552,547.93,6359.1,0.32116,0.086746,28.483
2,6,1,0.558,79.5,8,3.7586,58.951,4870.9,62615,1.0011,0.32443,82.963
2,6,2,0.621,73.6,8,2.8515,45.446,3692.8,42130,0.84214,0.27229,71.393
2,6,3,0.706,36.9,8,1.9695,29.814,2540.7,29228,0.63225,0.20488,54.441
2,6,4,0.809,38.2,8,1.2633,19.637,1609.5,18089,0.47383,0.14707,42.031
2,6,5,0.996,11.8,8,0.69805,11.313,887.03,10576,0.3557,0.10291,32.724
2,6,6,1.16,5.6,8,0.43169,7.2828,549.55,6867.4,0.28627,0.081787,27.428
2,7,1,0.499,164,8,3.7736,63.518,4911.1,57546,0.96998,0.30317,78.719
2,7,2,0.525,133,8,3.9472,65.1,5141.3,55789,1.0131,0.30987,79.887
2,7,3,0.639,71.1,8,2.2644,34.635,2904.6,32986,0.69144,0.21357,57.539
2,7,4,0.84,35.1,8,1.0716,16.674,1361.4,14435,0.43382,0.13585,39.036
2,7,5,1.03,36.7,8,0.60314,9.8022,769.88,8998.7,0.32544,0.097178,30.523
2,7,6,1.2,33.5,8,0.42254,6.6177,538.14,6805.6,0.29698,0.085265,28.216
2,8,1,0.536,173,8,3.917,63.017,5067.5,52942,1.0113,0.32305,82.094
2,8,2,0.568,127,8,3.2951,52.752,4258.6,45138,0.88595,0.29037,74.261
2,8,3,0.671,64,8,2.1702,33.668,2775.5,31247,0.66515,0.21964,58.195
2,8,4,0.833,40.2,8,1.151,18.386,1467.1,14899,0.45151,0.14465,41.244
2,8,5,0.999,55,8,0.69308,11.543,883.89,9469.1,0.32617,0.10222,31.387
