c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
3,7,7,1.41,4.67,9,0.70251,16.043,896.7,10456,0.20984,0.051356,0.36643,5.7532,6614.3,2.3284e+10,0.018825,0.015914,25.258,10.532,5.8964,77.214,1.5651,3.2357e-05,12227
3,8,2,0.584,123,9,4.2385,101.48,5481.8,63225,0.52123,0.16098,12.694,91.052,2.2688e+05,3.3527e+11,0.094578,0.10773,45.066,30.483,31.25,191.32,28.344,6.9653e-05,1.5992e+05
3,8,3,0.661,79.9,9,3.1677,75.825,4080.2,53585,0.43779,0.13359,7.4422,60.413,1.3255e+05,2.6012e+11,0.071586,0.081343,39.271,24.627,23.339,161.89,18.396,5.9167e-05,1.0565e+05
3,8,4,0.831,35.1,9,1.9344,46.912,2470.8,31306,0.33883,0.099916,2.8081,29.43,49857,1.1512e+11,0.045036,0.050801,33.103,17.853,14.574,126.13,7.8415,4.8434e-05,51455
3,8,5,0.982,47.2,9,1.3732,33.443,1749.9,20642,0.281,0.080108,1.4629,18.013,25915,6.3164e+10,0.03294,0.035151,29.622,14.625,10.655,104.14,4.558,4.1731e-05,31801
3,8,6,1.15,12.8,9,1.0907,26.46,1391.5,15690,0.25945,0.070378,0.85988,12.207,15218,4.1781e+10,0.027041,0.026993,29.193,13.349,8.7797,95.523,3.0782,3.9596e-05,22001
3,8,7,1.27,38.6,9,0.87796,21.483,1119.3,12897,0.23242,0.05948,0.55423,9.0776,9818.3,3.075e+10,0.02226,0.01994,27.369,11.783,7.151,85.952,2.2796,3.5972e-05,15951
4,1,2,0.628,94.8,9,5.0314,140.8,6383.8,80418,0.51996,0.15043,20.169,210.1,3.4633e+05,6.3258e+11,0.11064,0.10326,42.886,29.307,31.362,189.43,32.093,7.003e-05,2.1001e+05
4,1,3,0.73,53.9,9,3.6379,102.82,4603.4,60335,0.43702,0.12504,10.639,131.7,1.8177e+05,3.9522e+11,0.08188,0.076513,37.439,23.16,22.28,161.25,18.702,6.0373e-05,1.3003e+05
4,1,4,0.894,21,9,2.5496,73.109,3214.4,41657,0.36604,0.10511,5.215,78.559,88923,2.2616e+11,0.059168,0.056839,33.776,18.948,16.108,134.5,10.334,5.2841e-05,76859
4,1,5,1.03,28.5,9,1.8698,53.958,2360.1,29213,0.31686,0.086448,2.7491,49.767,46701,1.3185e+11,0.045212,0.040307,31.053,15.73,11.981,116.12,6.2141,4.7697e-05,48253
4,1,6,1.2,9.57,9,1.3478,38.583,1694.1,21888,0.26451,0.070463,1.4666,30.334,25059,8.6094e+10,0.03353,0.029122,28.068,13.201,8.968,97.132,3.7999,4.0679e-05,30639
4,1,7,1.38,6.3,9,1.0806,31.446,1360.1,17778,0.2434,0.061684,0.88535,22.277,15036,6.1208e+10,0.027839,0.022257,27.337,12.045,7.4171,89.254,2.7576,3.8105e-05,21200
4,2,2,0.562,295,9,6.568,174.51,8492.6,1.1915e+05,0.62789,0.18129,32.215,277.48,5.6327e+05,1.0693e+12,0.1401,0.13314,50.565,36.862,41.985,225.39,48.333,8.3999e-05,3.0225e+05
4,2,3,0.637,146,9,5.1048,134.08,6557.9,89614,0.53237,0.15581,20.491,193.1,3.5773e+05,7.2092e+11,0.10957,0.10568,43.347,29.889,32.01,193.64,32.315,7.5505e-05,2.1403e+05
4,2,4,0.831,91.4,9,3.0927,81.607,3927.6,44645,0.42038,0.12179,7.1226,87.365,1.2404e+05,2.5936e+11,0.068275,0.07,37.152,21.674,19.23,154.94,12.897,6.095e-05,1.0041e+05
4,2,5,0.951,95.2,9,2.3048,59.934,2919.9,37244,0.34738,0.098255,4.3826,56.14,76575,1.9848e+11,0.051845,0.051264,32.143,17.423,14.301,127.53,8.1646,5.1523e-05,69727
4,2,6,1.23,24.4,9,1.3156,34.761,1667.6,22838,0.26079,0.068169,1.4212,25.605,24731,9.2532e+10,0.031301,0.027233,27.187,12.723,8.6201,95.52,3.6317,4.0325e-05,30297
4,2,7,1.37,46.8,9,1.1126,29.292,1410,17083,0.24656,0.062154,0.95737,19.226,16707,6.0923e+10,0.027056,0.021819,27.119,11.986,7.507,90.511,2.7152,3.9106e-05,23303
4,3,2,0.612,119,9,6.4827,115.54,8552.7,1.1142e+05,0.75027,0.18472,28.811,126.39,5.8316e+05,9.9671e+11,0.20885,0.14245,46.948,35.702,36.83,272.92,35.303,8.5675e-05,3.6441e+05
4,3,3,0.679,70.4,9,4.9237,86.652,6465.7,77601,0.63691,0.15406,17.777,83.716,3.5829e+05,6.092e+11,0.1638,0.10859,40.145,28.304,27.378,234.24,22.076,7.4346e-05,2.548e+05
4,3,4,0.871,64.6,9,3.0836,55.249,4044,49683,0.51365,0.12162,6.939,42.221,1.3907e+05,3.0163e+11,0.11208,0.072344,34.607,21.248,17.936,188.89,10.091,6.2331e-05,1.2751e+05
4,3,5,1.06,40.8,9,2.0068,36.176,2627.2,34570,0.41451,0.092616,2.9859,22.673,59923,1.714e+11,0.078981,0.04503,30.036,16.248,12.187,152.58,5.2364,5.1859e-05,69034
4,3,6,1.25,21.8,9,1.4979,26.844,1958.4,23352,0.36986,0.078827,1.6073,14.247,32103,9.6447e+10,0.063438,0.034328,28.367,14.155,9.6449,136.6,3.2569,4.685e-05,44500
4,3,7,1.38,18.5,9,1.2334,22.209,1638.2,21332,0.34127,0.069612,1.0903,10.832,22346,8.375e+10,0.05491,0.028801,26.699,12.741,8.2506,125.82,2.5024,4.3135e-05,33280
4,4,2,0.604,130,9,5.6242,145.07,7176.1,86953,0.5643,0.16362,24.432,205.48,4.2924e+05,6.9191e+11,0.11959,0.11379,45.428,31.476,34.192,206.86,34.923,7.5756e-05,2.5324e+05
4,4,3,0.724,26,9,3.808,99.318,4832.5,63767,0.44912,0.13041,11.713,120.41,2.0479e+05,4.3435e+11,0.082502,0.081503,37.67,23.674,23.033,166.17,18.726,6.2449e-05,1.441e+05
4,4,4,0.878,2.65,9,2.7518,73.993,3491.5,42208,0.39849,0.11403,5.5973,74.992,97193,2.3173e+11,0.061566,0.06048,36.24,20.245,17.217,147.19,10.708,5.8564e-05,84320
4,4,5,1.09,2.4,9,1.7127,45.784,2173.7,28135,0.30654,0.082663,2.286,37.229,39711,1.2419e+11,0.039913,0.036131,30.389,15.034,10.99,112.04,5.2049,4.6994e-05,43618
4,4,6,1.27,4.19,9,1.2286,32.663,1555.6,20560,0.25562,0.065769,1.204,22.73,20979,7.7488e+10,0.029467,0.024987,27.242,12.409,8.1502,93.69,3.1703,4.0117e-05,27446
4,4,7,1.44,0.623,9,0.97714,26.004,1239.3,15938,0.23392,0.057757,0.72841,15.859,12657,5.225e+10,0.02424,0.018951,26.612,11.347,6.7255,85.999,2.2051,3.7258e-05,19161
4,5,2,0.676,146,9,4.9219,108.16,6370.7,90632,0.57249,0.15953,17.928,125.15,3.3206e+05,7.3433e+11,0.11756,0.10616,43.623,29.918,29.498,208.7,26.236,7.5475e-05,2.1467e+05
