c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumtorquerate,sumwork,sumworkrate,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumtorquerate2,sumwork2,sumworkrate2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
3,5,7,1.46,54.1,5,0.52147,6.3637,0.10708,0.73162,13.47,705.67,9883.9,0.17652,0.064944,0.34195,26.516,0.0084596,0.44577,4.7876,6651.9,2.1648e+10,0.015122,0.033221,22.772,11.38,7.1472,60.21,1.2838,2.5597e-05,9686.9
3,6,2,0.635,54.1,5,4.5561,54.608,3.9251,31.158,125.36,6334.9,97963,0.53303,0.17047,17.429,1179.7,10.672,656.75,160.49,3.4516e+05,8.7327e+11,0.1024,0.13118,44.628,34.869,38.111,195.27,45.568,6.4071e-05,1.9657e+05
3,6,3,0.702,27.9,5,3.3462,36.994,2.3307,16.478,83.781,4598.6,71648,0.45523,0.14677,9.4724,543.28,3.6063,169.9,80.433,1.8449e+05,5.0649e+11,0.076652,0.1005,38.339,27.112,27.378,164.66,26.056,5.8851e-05,1.2387e+05
3,6,4,0.829,31.5,5,1.9742,19.165,1.0085,5.6612,51.802,2693.5,40874,0.35167,0.10865,3.2751,142.44,0.61421,17.43,38.731,62920,1.9862e+11,0.047089,0.062479,31.31,18.839,16.564,127.3,11.142,4.6141e-05,54522
3,6,5,0.999,19.2,5,1.2424,12.543,0.44143,2.4365,35.348,1672.1,22989,0.28102,0.090164,1.4045,70.696,0.12063,3.4537,19.921,26277,7.9506e+10,0.030192,0.047122,28.967,15.417,11.651,105.89,5.0933,3.8446e-05,28677
3,6,6,1.16,2.46,5,0.88248,8.7742,0.26734,1.4762,25.315,1202.4,16573,0.24229,0.074021,0.77524,42.581,0.04637,1.5573,11.692,14781,4.795e+10,0.023934,0.03689,25.793,13.025,9.1426,90.12,3.1983,3.2553e-05,18578
3,6,7,1.29,6.16,5,0.68871,7.08,0.18543,1.0127,19.505,936.92,14186,0.21214,0.069385,0.48099,27.69,0.022398,0.70993,7.7388,9375,3.5815e+10,0.018806,0.034272,24.821,12.225,8.0564,80.866,2.1589,2.9205e-05,12658
3,7,2,0.541,122,5,6.4351,84.348,6.6399,59.267,192.01,9091.1,1.3766e+05,0.6488,0.20023,33.755,2744.3,29.732,2286.8,323.18,6.8736e+05,1.521e+12,0.14444,0.1687,54.239,46.38,54.304,238.72,75.712,8.2278e-05,3.3886e+05
3,7,3,0.667,54.4,5,3.7831,43.204,2.7977,20.636,96.11,5210.2,77227,0.49389,0.15697,12.018,728.9,5.1761,267.08,97.809,2.3755e+05,5.906e+11,0.087953,0.11348,40.7,30.256,30.777,180.57,31.173,5.9264e-05,1.5341e+05
3,7,4,0.87,37,5,1.6399,16.03,0.76183,4.2328,45.029,2236.2,34287,0.31617,0.095467,2.5465,116.75,0.3805,11.523,31.3,49674,1.558e+11,0.04006,0.053917,28.559,16.744,13.994,121.48,8.7489,3.8261e-05,46355
